[00030e] 030e 32     LDD (HL),A     AF=00c0 BC=8000 DE=00d8 HL=fffe SP=cfff P1=004000 vc=0 bI
[00030f] 030f 05     DEC B          AF=00c0 BC=8000 DE=00d8 HL=fffd SP=cfff P1=004000 vc=0 bI
[000310] 0310 20FC   JR NZ,030Eh    AF=0060 BC=7f00 DE=00d8 HL=fffd SP=cfff P1=004000 vc=0 bI
[000312] 0312 0EB6   LD C,B6h       AF=00c0 BC=0000 DE=00d8 HL=ff7e SP=cfff P1=004000 vc=0 bI
[000314] 0314 060C   LD B,0Ch       AF=00c0 BC=00b6 DE=00d8 HL=ff7e SP=cfff P1=004000 vc=0 bI
[000316] 0316 21C72A LD HL,2AC7h    AF=00c0 BC=0cb6 DE=00d8 HL=ff7e SP=cfff P1=004000 vc=0 bI
[000319] 0319 2A     LDI A,(HL)     AF=00c0 BC=0cb6 DE=00d8 HL=2ac7 SP=cfff P1=004000 vc=0 bI
[00031a] 031a E2     LD (FF00h+C),A AF=3ec0 BC=0cb6 DE=00d8 HL=2ac8 SP=cfff P1=004000 vc=0 bI
[00031b] 031b 0C     INC C          AF=3ec0 BC=0cb6 DE=00d8 HL=2ac8 SP=cfff P1=004000 vc=0 bI
[00031c] 031c 05     DEC B          AF=3e00 BC=0cb7 DE=00d8 HL=2ac8 SP=cfff P1=004000 vc=0 bI
[00031d] 031d 20FA   JR NZ,0319h    AF=3e40 BC=0bb7 DE=00d8 HL=2ac8 SP=cfff P1=004000 vc=0 bI
[00031f] 031f CDE927 CALL 27E9h     AF=e0c0 BC=00c2 DE=00d8 HL=2ad3 SP=cfff P1=004000 vc=0 bI
[0027e9] 27e9 21FF9B LD HL,9BFFh    AF=e0c0 BC=00c2 DE=00d8 HL=2ad3 SP=cffd P1=004000 vc=0 bI
[0027ec] 27ec 010004 LD BC,0400h    AF=e0c0 BC=00c2 DE=00d8 HL=9bff SP=cffd P1=004000 vc=0 bI
[0027ef] 27ef 3E2F   LD A,2Fh       AF=e0c0 BC=0400 DE=00d8 HL=9bff SP=cffd P1=004000 vc=0 bI
[0027f1] 27f1 32     LDD (HL),A     AF=2fc0 BC=0400 DE=00d8 HL=9bff SP=cffd P1=004000 vc=0 bI
[0027f2] 27f2 0B     DEC BC         AF=2fc0 BC=0400 DE=00d8 HL=9bfe SP=cffd P1=004000 vc=0 bI
[0027f3] 27f3 78     LD A,B         AF=2fc0 BC=03ff DE=00d8 HL=9bfe SP=cffd P1=004000 vc=0 bI
[0027f4] 27f4 B1     OR C           AF=03c0 BC=03ff DE=00d8 HL=9bfe SP=cffd P1=004000 vc=0 bI
[0027f5] 27f5 20F8   JR NZ,27EFh    AF=ff00 BC=03ff DE=00d8 HL=9bfe SP=cffd P1=004000 vc=0 bI
[0027f7] 27f7 C9     RET            AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[000322] 0322 CDF37F CALL 7FF3h     AF=0080 BC=0000 DE=00d8 HL=97ff SP=cfff P1=004000 vc=0 bI
[007ff3] 7ff3 C3D669 JP 69D6h       AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069d6] 69d6 AF     XOR A          AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069d7] 69d7 EAE1DF LD (DFE1h),A   AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069da] 69da EAE9DF LD (DFE9h),A   AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069dd] 69dd EAF1DF LD (DFF1h),A   AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069e0] 69e0 EAF9DF LD (DFF9h),A   AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069e3] 69e3 EA9FDF LD (DF9Fh),A   AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069e6] 69e6 EAAFDF LD (DFAFh),A   AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069e9] 69e9 EABFDF LD (DFBFh),A   AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069ec] 69ec EACFDF LD (DFCFh),A   AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069ef] 69ef 3EFF   LD A,FFh       AF=0080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069f1] 69f1 E025   LD (FF25h),A   AF=ff80 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069f3] 69f3 3E03   LD A,03h       AF=ff80 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069f5] 69f5 EA78DF LD (DF78h),A   AF=0380 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069f8] 69f8 3E08   LD A,08h       AF=0380 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069fa] 69fa E012   LD (FF12h),A   AF=0880 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069fc] 69fc E017   LD (FF17h),A   AF=0880 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[0069fe] 69fe E021   LD (FF21h),A   AF=0880 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[006a00] 6a00 3E80   LD A,80h       AF=0880 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[006a02] 6a02 E014   LD (FF14h),A   AF=8080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
[006a04] 6a04 E019   LD (FF19h),A   AF=8080 BC=0000 DE=00d8 HL=97ff SP=cffd P1=004000 vc=0 bI
